Sam,Collection date,Collection month,Individual ID,Age,Species = grey seal,Sex,How it was found,Cause of death,"County, see https://sv.wikipedia.org/wiki/L%C3%A4nsbokstav ","Sea area: BV= Bothnian Bay, BH= Bothnian Sea, EÖ= Main Baltic Proper, VH= Swedish West coast",,Autopsy date,Weight,Length,Blubber thickness,Status of the uterus,,Pregnant (x) or not (0),PS,CA,,Pregnancy status,,Fetus length from nose to tail,Fetus crown-rump length
Fyndår,Fynddatum,Fyndmånad,Nr,Ålder (formel),Art,Kön,Fyndomständighet,Dödsorsak,Län,Havsområde BV BH EÖ VH,Hel kropp 0/x,Undersökningsdatum,Kroppsvikt kg,Kroppslängd cm,Späck (mm),Uterusstatus,Uterus/Sten/Ockl/Leio,Dräktig 0/x,Placentaärr,CA,CL,Dräktighetsstatus HELCOM,Postpartum dräktig HELCOM,Foster längd (cm) nossvans,Foster längd (cm) crownrump
1997,19970829,8,A1997/05195,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, ålbottengarn",D,EÖ,x,19971001,135.0,192,35,,,,,,,,,,
1997,19970803,8,A1997/05210,#N/A,Gråsäl,Hane,Jakt,Skjuten,X,BH,,19971001,62.0,181,,,,,,,,,,,
1997,19971019,10,A1997/05221,#N/A,Gråsäl,Hane,Fiskeredskap,Drunkning,X,BH,x,19980217,88.0,160,35,,,,,,,,,,
1997,19971029,10,A1997/05224,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, siklöjeryssja",BD,BV,x,19980218,68.0,152,40,juvenil,0,0,Nej,Nej,Nej,Juvenil,Juvenil uterus,,
1997,19971029,10,A1997/05225,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, siklöjeryssja",BD,BV,x,19980216,73.0,147,34,juvenil,0,0,Nej,Nej,Nej,Juvenil,Juvenil uterus,,
1997,19971029,10,A1997/05226,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, siklöjeryssja",BD,BV,x,19980218,70.0,158,40,juvenil,0,0,Nej,Nej,Nej,Juvenil,Juvenil uterus,,
1997,19971029,10,A1997/05227,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, siklöjeryssja",BD,BV,x,19980217,125.0,176,50,Dräktig,0,x,,,Ja,Dräktig,,31,
1997,19971028,10,A1997/05228,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, ålbottengarn",E,EÖ,x,19980216,65.0,143,27,,,,,,,,,,
1998,19980129,1,A1998/05009,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, trål",X,BH,x,19980205,190.0,189,55,,,,,,,,,,
1998,19980407,4,A1998/05653,#N/A,Gråsäl,Hane,Strandad,Drunkning,AB,EÖ,x,19980828,11.5,94,5,,,,,,,,,,
1998,19980407,4,A1998/05654,#N/A,Gråsäl,Hona,Strandad,Drunkning,AB,EÖ,x,19980828,35.0,100,42,,,,,,,,,,
1998,19980422,4,A1998/05666,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, nät",AB,EÖ,x,19980828,61.0,135,30,,,,,,,,,,
1998,19980428,4,A1998/05667,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, ryssja",X,BH,x,19980428,115.0,170,35,,,,,,,,,,
1998,19980724,7,A1998/05691,#N/A,Gråsäl,Hane,Strandad,Drunkning,BD,BV,x,19980806,39.0,124,30,,,,,,,,,,
1998,19980812,8,A1998/05695,#N/A,Gråsäl,Hane,Funnen levande,"Skjuten p g a sjukdom,tarmsår",D,EÖ,x,19980828,120.0,186,35,,,,,,,,,,
1998,19980812,8,A1998/05700,#N/A,Gråsäl,Hane,Strandad,"Tarmsår, utmärglad",Y,BH,x,19980827,89.0,180,18,,,,,,,,,,
1998,19980816,8,A1998/05701,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, Funnen död vid ålbottengarn, hade 2 ålar i magen",H,EÖ,x,19980827,76.0,150,20,,,,,,,,,,
1998,19980812,8,A1998/05707,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, ålbottengarn",H,EÖ,x,19981026,175.0,200,32,,,,,,,,,,
1998,19981009,10,A1998/05744,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, ryssja",BD,BV,x,19981027,91.0,160,38,juvenil,0,0,,,Ja,Ej dräktig,Juvenil uterus,,
1998,19981017,10,A1998/05748,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, kombifälla för lax och sik",X,BH,x,19981026,95.0,165,35,,,,,,,,,,
1998,19981017,10,A1998/05749,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, kombifälla för lax och sik",X,BH,x,19981026,82.0,166,33,,,,,,,,,,
1998,19981027,10,A1998/05753,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, bottengarn",H,EÖ,x,19981215,110.0,177,41,,,,,,,,,,
1998,19981214,12,A1998/05775,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, nät",Y,BH,x,19990309,150.0,175,65,,,,,,,,,,
1999,19990328,3,A1999/05137,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, laxnät",C,BH,x,19990421,80.5,154,38,,,,,,,,,,
1999,19990328,3,A1999/05138,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, laxnät",C,BH,x,19990421,71.0,140,40,juvenil,0,0,Nej,Nej,Nej,Juvenil,Juvenil uterus,,
1999,19990620,6,A1999/05163,#N/A,Gråsäl,Hane,Fiskeredskap,Avlivad i fiskeredskap,X,BH,x,19990622,142.0,190,25,,,,,,,,,,
1999,19990222,2,A1999/05191,#N/A,Gråsäl,Hane,Fiskeredskap,Drunkning,E,EÖ,x,19991109,60.0,155,27,,,,,,,,,,
1999,19991003,10,A1999/05205,#N/A,Gråsäl,Hane,Strandad,"Tarmsår, utmärglad",AB,EÖ,x,19991006,,170,20,,,,,,,,,,
1999,19990728,7,A1999/05225,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, laxfälla",Y,BH,x,19991109,60.0,144,25,,,,,,,,,,
1999,19991117,11,A1999/05241,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, flytnät för öring",D,EÖ,x,20000414,42.2,127,22,,,,,,,,,,
2000,20000213,2,A2000/05045,#N/A,Gråsäl,Hane,Strandad,Skjuten i huvudet,I,EÖ,x,20000218,86.4,177,22,,,,,,,,,,
2000,20000410,4,A2000/05168,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, siknät",E,EÖ,x,20000414,14.5,95,15,,0,0,,,,Juvenil,,,
2000,20000516,5,A2000/05202,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, piggvarnät 12 fammars djup",K,EÖ,x,20001017,30.4,100,29,,0,0,,,,Juvenil,,,
2000,20000618,6,A2000/05214,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, laxfälla",X,BH,x,20000620,147.0,197,30,,,,,,,,,,
2000,20000704,7,A2000/05218,#N/A,Gråsäl,Hane,Strandad,tarmperforation,E,EÖ,x,20000706,,177,15,,,,,,,,,,
2000,20000725,7,A2000/05227,#N/A,Gråsäl,Hane,Strandad,tarmperforation,AB,EÖ,x,20000725,,190,18,,,,,,,,,,
2000,20000806,8,A2000/05228,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, ålbottengarn",X,BH,x,20001031,132.0,187,25,,,,,,,,,,
2000,20000821,8,A2000/05307,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, ålbottengarn",H,EÖ,x,20000823,129.6,188,40,,,,,,,,,,
2000,20000821,8,A2000/05308,#N/A,Gråsäl,Hane,Fiskeredskap,"Funnen död, druknad, troligen Drunkning",X,BH,x,20000825,148.0,198,36,,,,,,,,,,
