Sam,Collection date,Collection month,Individual ID,Age,Species = grey seal,Sex,How it was found,Cause of death,"County, see https://sv.wikipedia.org/wiki/L%C3%A4nsbokstav","Sea area: BV= Bothnian Bay, BH= Bothnian Sea, EÖ= Main Baltic Proper, VH= Swedish West coast","Body (x), Samples (0)",Autopsy date,Weight,Length,Blubber thickness,Status of the uterus,,Pregnant (x) or not (0),PS,CA,CL,Pregnancy status,,Fetus length nose-tail,Fetus length crown-rump ,
Fyndår,Fynddatum,Fyndmånad,Nr,Ålder ,Art,Kön,Fyndomständighet,Dödsorsak,Län,Havsområde BV BH EÖ VH,Hel kropp 0/x,Undersökningsdatum,Kroppsvikt kg,Kroppslängd cm,Späck (mm),Uterusstatus,Uterus/Sten/Ockl/Leio,Dräktig 0/x,Placentaärr,CA,CL,Dräktighetsstatus HELCOM,Postpartum dräktig HELCOM,Foster längd (cm) nossvans,Foster längd (cm) crownrump,
2023,2023-05-30,5,B2023/08019,3,Gråsäl,Hane,Funnen död,Trauma - skottskada,AB,EÖ,x,31/05/2023,80,152,20,,,,,,,,,,,
2023,2023-05-01,5,B2023/08020,23,Gråsäl,Hane,Funnen död,Infekterad bitskada,M,EÖ,x,09/05/2023,97,107.6,11,,,,,,,,,,,
2023,2023-09-17,9,B2024/00020,5,Gråsäl,Hane,Funnen död,Tarmperforation pga fiskeredskap,M,VH,x,20/09/2023,107,185,39,,,,,,,,,,,
2023,2023-10-01,10,B2024/00019,25,Gråsäl,Hane,Avlivad,Akut tarmvred,M,VH,x,17/10/2023,138,190,29,,,,,,,,,,,
2024,2024-02-07,2,B2024/00555,34,Gråsäl,Hane,Funnen död,Utmärgling,M,EÖ,x,29/02/2024,129.5,209,16,,,,,,,,,,,
2024,2024-05-14,5,B2024/03973,18,Gråsäl,Hane,Funnen död,"Tunntarmsvolvolus, parasitär grovtarmsinflammation, utmärglad.",M,EÖ,x,17/05/2024,116,206,8,,,,,,,,,,,
2024,2024-10-10,10,B2024/05339,,Gråsäl,Hane,Funnen död,Trauma/Drunkning,H,EÖ,x,29/10/2024,65,146,32,,,,,,,,,,,
2024,2024-10-15,10,B2024/05338,,Gråsäl,Hane,Funnen död,Icke smittsam sjukdom - tarmomvridning,M,VH,x,17/10/2024,175,202,34,,,,,,,,,,,
2024,2024-10-17,10,B2024/05341,,Gråsäl,Hane,Funnen död,Skjuten (Jaktbrott),M,VH,x,22/10/2024,195,220,56,,,,,,,,,,,
2024,2024-08-19,8,B2024/05337,,Gråsäl,Hane,Funnen död,Trauma?,M,EÖ,x,30/09/2024,99,165.5,20,,,,,,,,,,,
2024,2024-11-17,11,24-VLT003543,,Gråsäl,Hane,Funnen död,"Trauma, lunginflammation",M,EÖ,x,26/11/2024,212,221,66,,,,,,,,,,,
2024,09/05/2024,5,B2024/00907,0,Grey seal,Male,Fishing gear,Drowning,H,EÖ,x,05/06/2024,40.9,109.6,37,,,,,,,,,,,
2024,18/04/2024,4,B2024/00910,0,Grey seal,Male,Fishing gear,Drowning,AB,EÖ,x,20/06/2024,14.1,92,7,,,,,,,,,,,
2024,25/04/2024,4,B2024/00911,,Grey seal,Female,Fishing gear,Drowning,M,EÖ,x,20/06/2024,27.8,103,13,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,24/04/2024,4,B2023/04455,0,Grey seal,Female,Fishing gear,Drowning,M,EÖ,x,14/06/2024,33.8,103.5,39,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,24/04/2024,4,B2024/00908,0,Grey seal,Female,Fishing gear,Drowning,M,EÖ,x,18/06/2024,32.5,108,36,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,24/04/2024,4,B2024/01043,0,Grey seal,Male,Fishing gear,Drowning,M,EÖ,0,18/06/2024,29,105,27,,,,,,,,,,,
2024,25/04/2024,4,B2024/00909,0,Grey seal,Female,Fishing gear,Drowning,M,EÖ,x,19/06/2024,33.3,110,33,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,24/06/2024,6,B2024/01561,0,Grey seal,Female,Fishing gear,Drowning,H,EÖ,x,22/07/2024,35.5,112.3,31,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,24/04/2024,4,B2024/01562,0,Grey seal,Male,Fishing gear,Drowning,M,EÖ,0,22/07/2024,31,116,28,,,,,,,,,,,
2024,06/09/2024,9,B2024/01864,7,Grey seal,Male,Hunt,Shot,C,BH,0,24/09/2024,,182,45,,,,,,,,,,,
2024,28/08/2024,8,B2024/01865,0,Grey seal,Female,Hunt,Shot,E,EÖ,0,27/09/2024,31,100,25,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,14/08/2024,8,B2024/03440,0,Grey seal,Female,Fishing gear,Drowning,K,EÖ,x,27/09/2024,37.2,117.3,36,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,28/08/2024,8,B2024/03876,0,Grey seal,Male,Hunt,Shot,E,EÖ,0,30/09/2024,27,100,25,,,,,,,,,,,
2024,28/08/2024,8,B2024/03877,0,Grey seal,Female,Hunt,Shot,E,EÖ,0,30/09/2024,28,105,25,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,28/08/2024,8,B2024/03878,8,Grey seal,Female,Hunt,Shot,E,EÖ,0,30/09/2024,65,173,55,Parous,,x,Ja,Nej,Ja,Dräktig,PP placentaärr,21.5,,104
2024,29/08/2024,8,B2024/03879,0,Grey seal,Female,Hunt,Shot,E,EÖ,0,02/10/2024,26,100,30,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,29/08/2024,8,B2024/03880,0,Grey seal,Female,Hunt,Shot,E,EÖ,0,02/10/2024,42,130,40,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,29/08/2024,8,B2024/03881,0,Grey seal,Male,Hunt,Shot,E,EÖ,0,02/10/2024,40,130,40,,,,,,,,,,,
2024,28/08/2024,8,B2024/03882,0,Grey seal,Female,Hunt,Shot,E,EÖ,0,04/10/2024,36,108,36,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,04/09/2024,9,B2024/03972,0,Grey seal,Male,Fishing gear,Drowning,K,EÖ,x,04/10/2024,43.3,132.5,22,,,,,,,,,,,
2024,13/09/2024,9,B2024/03981,6,Grey seal,Female,Hunt,Shot,AC,BH,0,09/10/2024,,174,35,Parous,,x,Nej,Nej,Ja,Dräktig,Ej PP tecken (kvar),20.1,,85
2024,13/09/2024,9,B2024/03982,2,Grey seal,Male,Hunt,Shot,AC,BH,0,09/10/2024,,154,30,,,,,,,,,,,
2024,13/09/2024,9,B2024/03983,0,Grey seal,Male,Hunt,Shot,AC,BH,0,09/10/2024,,127,25,,,,,,,,,,,
2024,14/09/2024,9,B2024/03984,3,Grey seal,Female,Hunt,Shot,AC,BV,0,10/10/2024,,159,40,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,04/09/2024,9,B2024/03985,4,Grey seal,Female,Hunt,Shot,AC,BV,0,10/10/2024,,156,,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,07/09/2024,9,B2024/03986,10,Grey seal,Male,Hunt,Shot,C,BH,0,10/10/2024,,179,30,,,,,,,,,,,
2024,28/08/2024,8,B2024/04135,5,Grey seal,Female,Hunt,Shot,AB,EÖ,0,15/10/2024,,162,65,Juvenile,,0,Nej,Nej,Ja,Ej dräktig,Juvenil,,,
2024,28/08/2024,8,B2024/04136,0,Grey seal,Male,Hunt,Shot,AB,EÖ,0,15/10/2024,36,121,35,,,,,,,,,,,
2024,28/08/2024,8,B2024/04137,0,Grey seal,Female,Hunt,Shot,AB,EÖ,0,15/10/2024,40,120,40,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,28/08/2024,8,B2024/04138,0,Grey seal,Male,Hunt,Shot,AB,EÖ,0,17/10/2024,45,126,35,,,,,,,,,,,
2024,28/08/2024,8,B2024/04139,1,Grey seal,Female,Hunt,Shot,AB,EÖ,0,17/10/2024,45,123,35,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2024,28/08/2024,8,B2024/04140,0,Grey seal,Female,Hunt,Shot,AB,EÖ,0,17/10/2024,36,113,40,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
